# fixed mirror figure, mode=medial, layout=axicon
# generated 2026-08-14 by scripts/run_axicon_medial_buie.py: R = 4 FtFs/(Ft+Fs), the medial-power sphere; analytic, sun-independent
# spherical (R = 2 Ft) is the reference this competes against; see fixed_shapes_axicon_spherical.csv
heliostat,x_mm,y_mm,c3,c4,c5
111,41341.4481238635,20387.346047793697,0.0,-1.1331638570089647e-06,0.0
112,38326.6836550653,25609.0712806054,0.0,-1.133163857008966e-06,0.0
113,34656.1390027648,30392.61820363,0.0,-1.1331638570089661e-06,0.0
114,30392.61820363,34656.1390027648,0.0,-1.1331638570089661e-06,0.0
115,25609.0712806054,38326.6836550653,0.0,-1.133163857008966e-06,0.0
116,20387.346047793697,41341.4481238634,0.0,-1.133163857008966e-06,0.0
117,14816.787671664,43648.848953247405,0.0,-1.133163857008965e-06,0.0
118,8992.709950482571,45209.405875294105,0.0,-1.1331638570089647e-06,0.0
119,3014.7644687981,45996.4173283991,0.0,-1.1331638570089653e-06,0.0
120,-3014.7644687981,45996.4173283991,0.0,-1.1331638570089653e-06,0.0
121,-8992.70995048256,45209.405875294105,0.0,-1.1331638570089647e-06,0.0
122,-14816.787671664,43648.848953247405,0.0,-1.133163857008965e-06,0.0
123,-20387.346047793697,41341.4481238634,0.0,-1.133163857008966e-06,0.0
124,-25609.0712806054,38326.6836550653,0.0,-1.133163857008966e-06,0.0
125,-30392.61820363,34656.1390027648,0.0,-1.1331638570089661e-06,0.0
126,-34656.1390027648,30392.61820363,0.0,-1.1331638570089661e-06,0.0
127,-38326.6836550653,25609.0712806054,0.0,-1.133163857008966e-06,0.0
128,-41341.4481238635,20387.346047793697,0.0,-1.1331638570089647e-06,0.0
129,-43648.848953247405,14816.787671664,0.0,-1.133163857008965e-06,0.0
130,-45209.405875294105,8992.70995048254,0.0,-1.1331638570089647e-06,0.0
131,-45996.4173283991,3014.76446879809,0.0,-1.1331638570089653e-06,0.0
132,-45996.4173283991,-3014.7644687981397,0.0,-1.1331638570089653e-06,0.0
133,-45209.405875294105,-8992.70995048261,0.0,-1.1331638570089644e-06,0.0
134,-43648.848953247405,-14816.787671664,0.0,-1.133163857008965e-06,0.0
135,-41341.4481238634,-20387.346047793697,0.0,-1.133163857008966e-06,0.0
136,-38326.6836550653,-25609.0712806054,0.0,-1.133163857008966e-06,0.0
137,-34656.1390027648,-30392.6182036301,0.0,-1.1331638570089649e-06,0.0
138,-30392.61820363,-34656.1390027649,0.0,-1.1331638570089647e-06,0.0
139,-25609.071280605298,-38326.683655065404,0.0,-1.1331638570089653e-06,0.0
140,-20387.3460477936,-41341.4481238635,0.0,-1.133163857008965e-06,0.0
141,-14816.787671663898,-43648.848953247405,0.0,-1.133163857008966e-06,0.0
142,-8992.709950482511,-45209.405875294105,0.0,-1.1331638570089647e-06,0.0
143,-3014.76446879805,-45996.4173283991,0.0,-1.1331638570089653e-06,0.0
144,-8.76900682911802e-11,-51127.5235819115,0.0,-1.0590355117772568e-06,0.0
145,6673.48097078771,-50690.1205300545,0.0,-1.0590355117772564e-06,0.0
146,13232.7768319268,-49385.3954619717,0.0,-1.0590355117772572e-06,0.0
147,19565.6562126529,-47235.6725853162,0.0,-1.059035511777257e-06,0.0
148,25563.761790955698,-44277.7342545234,0.0,-1.059035511777256e-06,0.0
149,31124.4643174014,-40562.191614528405,0.0,-1.0590355117772572e-06,0.0
150,36152.6186300447,-36152.6186300448,0.0,-1.0590355117772564e-06,0.0
151,40562.1916145283,-31124.4643174015,0.0,-1.0590355117772577e-06,0.0
152,44277.734254523304,-25563.761790955803,0.0,-1.0590355117772564e-06,0.0
153,47235.6725853162,-19565.656212653,0.0,-1.0590355117772564e-06,0.0
154,49385.3954619717,-13232.776831927,0.0,-1.0590355117772564e-06,0.0
155,50690.1205300545,-6673.480970787849,0.0,-1.0590355117772564e-06,0.0
156,51127.5235819115,-4.5410363098163e-11,0.0,-1.0590355117772568e-06,0.0
157,50690.1205300545,6673.48097078776,0.0,-1.0590355117772564e-06,0.0
158,49385.3954619717,13232.7768319269,0.0,-1.0590355117772568e-06,0.0
159,47235.6725853162,19565.6562126529,0.0,-1.059035511777257e-06,0.0
160,44277.734254523304,25563.761790955698,0.0,-1.0590355117772572e-06,0.0
161,40562.191614528405,31124.4643174015,0.0,-1.0590355117772564e-06,0.0
162,36152.6186300447,36152.6186300447,0.0,-1.0590355117772572e-06,0.0
163,31124.4643174015,40562.191614528405,0.0,-1.0590355117772564e-06,0.0
164,25563.761790955698,44277.734254523304,0.0,-1.0590355117772572e-06,0.0
165,19565.6562126529,47235.6725853162,0.0,-1.059035511777257e-06,0.0
166,13232.7768319269,49385.3954619717,0.0,-1.0590355117772568e-06,0.0
167,6673.480970787809,50690.1205300545,0.0,-1.0590355117772564e-06,0.0
168,3.1306579051459398e-12,51127.5235819115,0.0,-1.0590355117772568e-06,0.0
169,-6673.4809707878,50690.1205300545,0.0,-1.0590355117772564e-06,0.0
170,-13232.7768319269,49385.3954619717,0.0,-1.0590355117772568e-06,0.0
171,-19565.6562126529,47235.6725853162,0.0,-1.059035511777257e-06,0.0
172,-25563.761790955698,44277.734254523304,0.0,-1.0590355117772572e-06,0.0
173,-31124.4643174015,40562.191614528405,0.0,-1.0590355117772564e-06,0.0
174,-36152.6186300447,36152.6186300447,0.0,-1.0590355117772572e-06,0.0
175,-40562.191614528405,31124.4643174015,0.0,-1.0590355117772564e-06,0.0
176,-44277.734254523304,25563.761790955698,0.0,-1.0590355117772572e-06,0.0
177,-47235.6725853162,19565.6562126529,0.0,-1.059035511777257e-06,0.0
178,-49385.3954619717,13232.7768319269,0.0,-1.0590355117772568e-06,0.0
179,-50690.1205300545,6673.48097078776,0.0,-1.0590355117772564e-06,0.0
180,-51127.5235819115,-3.9149047287871204e-11,0.0,-1.0590355117772568e-06,0.0
181,-50690.1205300545,-6673.48097078784,0.0,-1.0590355117772564e-06,0.0
182,-49385.3954619717,-13232.776831927,0.0,-1.0590355117772564e-06,0.0
183,-47235.6725853162,-19565.656212653,0.0,-1.0590355117772564e-06,0.0
184,-44277.734254523304,-25563.761790955803,0.0,-1.0590355117772564e-06,0.0
185,-40562.191614528405,-31124.4643174015,0.0,-1.0590355117772564e-06,0.0
186,-36152.6186300447,-36152.6186300448,0.0,-1.0590355117772564e-06,0.0
187,-31124.4643174014,-40562.191614528405,0.0,-1.0590355117772572e-06,0.0
188,-25563.761790955698,-44277.734254523304,0.0,-1.0590355117772572e-06,0.0
189,-19565.6562126529,-47235.6725853162,0.0,-1.059035511777257e-06,0.0
190,-13232.7768319269,-49385.3954619717,0.0,-1.0590355117772568e-06,0.0
191,-6673.48097078771,-50690.1205300545,0.0,-1.0590355117772564e-06,0.0
192,3690.00801333362,-56298.6429895466,0.0,-9.902868564032678e-07,0.0
193,11006.8869798294,-55335.3575990628,0.0,-9.902868564032671e-07,0.0
194,18135.4350584147,-53425.2688981994,0.0,-9.90286856403268e-07,0.0
195,24953.6808150581,-50601.0590342049,0.0,-9.90286856403268e-07,0.0
196,31344.962174488403,-46911.0510208712,0.0,-9.902868564032678e-07,0.0
197,37199.9225406478,-42418.3819183699,0.0,-9.90286856403268e-07,0.0
198,42418.38191836981,-37199.922540647894,0.0,-9.902868564032682e-07,0.0
199,46911.0510208712,-31344.9621744885,0.0,-9.902868564032671e-07,0.0
200,50601.0590342049,-24953.6808150582,0.0,-9.902868564032676e-07,0.0
